state,year,total_employed_rn,employed_standard_error_percent,hourly_wage_avg,hourly_wage_median,annual_salary_avg,annual_salary_median,wage_salary_standard_error_percent,hourly_10th_percentile,hourly_25th_percentile,hourly_75th_percentile,hourly_90th_percentile,annual_10th_percentile,annual_25th_percentile,annual_75th_percentile,annual_90th_percentile,location_quotient,total_employed_national_aggregate,total_employed_healthcare_national_aggregate,total_employed_healthcare_state_aggregate,yearly_total_employed_state_aggregate
California,2020,307060,2,57.96,56.93,120560,118410,1,36.62,45.18,71.07,83.35,76180,93970,147830,173370,0.87,140019790,8632190,844740,16430660
New York,2020,178550,1.5,43.16,43.19,89760,89840,1.1,27.88,33.97,51.12,60.89,57990,70650,106330,126660,0.96,140019790,8632190,531520,8691440
North Carolina,2020,99110,1,33.15,32.13,68950,66820,0.4,24.43,27.61,38.35,44.83,50820,57430,79770,93250,1.08,140019790,8632190,274580,4288450
California,2018,294510,1.5,51.42,50.2,106950,104410,1,31.94,40.2,62.56,75.56,66440,83620,130120,157160,0.85,145671780,8701110,838440,17007690
New York,2018,182490,1.3,41.16,41.01,85610,85300,1.1,26.66,32.36,48.77,58.12,55450,67300,101440,120890,0.95,145671780,8701110,545670,9385620
North Carolina,2018,102500,0.9,31.18,30.26,64850,62940,0.7,22.18,25.97,36.25,41.66,46130,54020,75400,86650,1.15,145671780,8701110,278880,4383210
California,2015,255010,1.7,48.68,48.27,101260,100400,0.9,30.97,37.88,59.33,70.72,64410,78800,123420,147090,0.83,138885360,8076300,749930,15496600
New York,2015,171880,1.6,37.96,37.49,78950,77980,0.7,25.16,30.3,45.58,53.39,52330,63030,94810,111040,0.96,138885360,8076300,510770,8984890
North Carolina,2015,95670,0.7,29.07,28.34,60460,58950,0.6,20.81,24.15,33.83,38.31,43280,50240,70370,79680,1.16,138885360,8076300,256650,4125070
California,2013,252940,1.6,46.62,45.34,96980,94310,1,30.61,36.46,56.69,67.8,63670,75840,117910,141030,0.86,133614660,7807260,730270,14714530
New York,2013,169820,2.1,36.29,35.75,75470,74370,0.9,24.38,29.48,43.37,50.98,50700,61310,90210,106050,0.98,133614660,7807260,502290,8635400
North Carolina,2013,88350,1.9,28.51,28.12,59290,58490,0.6,20.32,23.63,33.38,36.99,42260,49150,69430,76930,1.11,133614660,7807260,248150,3947030
California,2012,249980,1.9,45.25,43.88,94120,91270,1,30.52,35.84,54.7,65.56,63490,74550,113780,136360,0.86,131331400,7698450,721930,14303630
New York,2012,166950,2.4,35.63,35.16,74100,73130,0.8,23.97,29.06,42.6,49.58,49860,60450,88620,103130,0.97,131331400,7698450,494330,8542280
North Carolina,2012,86240,2.7,28.25,27.88,58760,57990,0.5,20.33,23.59,32.98,36.45,42290,49070,68600,75830,1.1,131331400,7698450,238220,3878800
California,2019,302770,2.1,54.44,53.18,113240,110620,0.9,34.24,42.59,66.22,78.76,71230,88590,137730,163830,0.86,147838700,8727310,844930,17382400
New York,2019,178320,2,42.23,41.99,87840,87330,1.1,27.39,33.39,49.71,59.55,56980,69450,103400,123860,0.92,147838700,8727310,546900,9522980
North Carolina,2019,99960,0.9,31.94,31.06,66440,64600,0.6,23.08,26.67,37.01,42.83,48010,55470,76970,89080,1.1,147838700,8727310,276020,4462800
California,2009,233030,2.2,40.9,39.86,85080,82910,0.9,28.46,33.52,48.11,56.41,59200,69720,100080,117330,NA,131713800,7250140,656080,14532640
New York,2009,165730,1.5,34.99,34.66,72790,72100,0.9,23,28.07,41.7,49.16,47840,58390,86740,102240,NA,131713800,7250140,466480,8487020
North Carolina,2009,88190,2.2,28.31,27.49,58880,57170,0.6,20.54,23.33,31.81,37.28,42730,48530,66160,77550,NA,131713800,7250140,225500,3896750
California,2008,240470,2.4,39.92,38.93,83040,80980,0.9,27.4,32.85,47.05,55.54,56990,68330,97850,115520,NA,136288000,7125040,654980,15212610
New York,2008,168850,1.8,35.17,34.4,73160,71550,1.7,22.57,27.72,41.53,49.32,46950,57650,86370,102580,NA,136288000,7125040,462470,8633580
North Carolina,2008,84230,2.4,27.78,27.04,57790,56240,0.5,20.5,23.1,31.04,36.74,42630,48050,64550,76420,NA,136288000,7125040,218200,4063420
California,2010,240030,2.6,42.06,41.03,87480,85340,0.9,29.15,33.95,49.63,58.04,60630,70610,103220,120720,0.821,128150010,7394880,681250,14001730
New York,2010,169710,1.8,35.58,35.15,74000,73100,0.9,23.53,28.76,42.21,49.67,48950,59830,87800,103320,0.974,128150010,7394880,473700,8344020
North Carolina,2010,90730,1.6,28.97,27.82,60260,57870,0.6,20.51,23.56,32.65,38.05,42670,49000,67920,79150,1.151,128150010,7394880,229720,3772780
California,2007,233200,1.7,37.76,36.77,78550,76470,0.7,26.62,31.48,44.19,51.73,55370,65480,91910,107590,NA,135474020,6923830,634760,15202530
New York,2007,166990,1.7,33.47,32.43,69620,67460,1.7,21.4,26.04,39.89,47.26,44520,54160,82970,98300,NA,135474020,6923830,452980,8515960
North Carolina,2007,80090,0.9,26.89,26.02,55920,54120,0.6,19.77,22.26,30.06,35.32,41120,46310,62520,73470,NA,135474020,6923830,209670,4013460
California,2002,206140,2.2,29.01,28.38,60350,59040,0.7,20.77,24.25,33.56,39.02,43190,50440,69800,81150,NA,128588870,6226540,586380,14460260
New York,2002,163600,2.3,26.97,26.17,56090,54430,1,17.06,21.02,32.59,39.57,35490,43720,67790,82310,NA,128588870,6226540,432460,8289380
North Carolina,2002,66290,1.7,22.29,21.66,46370,45050,0.5,16.47,18.78,25.3,28.1,34260,39060,52620,58450,NA,128588870,6226540,180730,3713570
California,2001,201070,2.1,27.85,27.36,57940,56900,0.6,20.08,23.57,32.36,36.73,41770,49030,67300,76400,NA,129059020,6160210,578820,14445860
New York,2001,160380,2.2,25.71,25.21,53470,52430,1.2,16.26,20.1,30.74,36.87,33830,41810,63940,76690,NA,129059020,6160210,424860,8374060
